"filename", "language", "CMake", "C", "Objective-C", "C++", "Markdown", "AADL", "comment", "blank", "total"
"d:\VirtualBox VMs\Shared Folder\upmsat2skeletons\apps\acs_algorithm_app\README.md", "Markdown", 0, 0, 0, 0, 34, 0, 0, 11, 45
"d:\VirtualBox VMs\Shared Folder\upmsat2skeletons\apps\acs_algorithm_app\fsw\mission_inc\acs_algorithm_app_perfids.h", "C++", 0, 0, 0, 4, 0, 0, 26, 5, 35
"d:\VirtualBox VMs\Shared Folder\upmsat2skeletons\apps\acs_algorithm_app\fsw\platform_inc\acs_algorithm_app_msgids.h", "C++", 0, 0, 0, 7, 0, 0, 30, 7, 44
"d:\VirtualBox VMs\Shared Folder\upmsat2skeletons\apps\acs_algorithm_app\fsw\platform_inc\acs_algorithm_app_table.h", "C++", 0, 0, 0, 8, 0, 0, 29, 6, 43
"d:\VirtualBox VMs\Shared Folder\upmsat2skeletons\apps\acs_algorithm_app\fsw\src\acs_algorithm_app.c", "C", 0, 243, 0, 0, 0, 0, 174, 116, 533
"d:\VirtualBox VMs\Shared Folder\upmsat2skeletons\apps\acs_algorithm_app\fsw\src\acs_algorithm_app.h", "C++", 0, 0, 0, 45, 0, 0, 42, 29, 116
"d:\VirtualBox VMs\Shared Folder\upmsat2skeletons\apps\acs_algorithm_app\fsw\src\acs_algorithm_app_events.h", "C++", 0, 0, 0, 13, 0, 0, 26, 6, 45
"d:\VirtualBox VMs\Shared Folder\upmsat2skeletons\apps\acs_algorithm_app\fsw\src\acs_algorithm_app_msg.h", "C++", 0, 0, 0, 24, 0, 0, 44, 11, 79
"d:\VirtualBox VMs\Shared Folder\upmsat2skeletons\apps\acs_algorithm_app\fsw\src\acs_algorithm_app_user.c", "C", 0, 13, 0, 0, 0, 0, 8, 13, 34
"d:\VirtualBox VMs\Shared Folder\upmsat2skeletons\apps\acs_algorithm_app\fsw\src\acs_algorithm_app_user.h", "C++", 0, 0, 0, 11, 0, 0, 8, 10, 29
